Timestamp	Endemic	Non-endemic
2012-10-05	149	5
2012-10-06	149	5
2012-10-11	157	5
2012-10-13	157	5
2012-10-14	157	5
2012-10-15	157	5
2012-10-17	166	5
2012-10-25	170	5
2012-10-30	170	5
2012-10-31	170	5
2012-11-01	172	5
2012-11-03	172	5
2012-11-04	172	5
2012-11-08	176	5
2012-11-15	182	5
2012-11-21	188	5
2012-11-29	197	5
2013-10-05	91	196
2013-10-06	91	196
2013-10-11	94	191
2013-10-13	94	191
2013-10-14	94	191
2013-10-15	94	191
2013-10-17	99	197
2013-10-25	103	198
2013-10-30	103	198
2013-10-31	103	198
2013-11-01	110	212
2013-11-03	110	212
2013-11-04	110	212
2013-11-08	116	212
2013-11-15	119	215
2013-11-21	123	218
2013-11-29	123	224
