Timestamp	Days since
1367069220	31
1367155620	32
1367242020	33
1367328420	34
1367414820	35
1367501220	36
1367587620	37
1367674020	38
1367760420	39
1367846820	40
1367933220	41
1368019620	27
1368106020	28
1368192420	29
1368278820	30
1368365220	31
1368451620	32
1368538020	33
1368624420	34
1370438820	23
1370525220	24
1370611620	25
1370698020	26
1370784420	27
1370870820	28
1370957220	29
1371043620	30
1371130020	26
1371216420	27
1371302820	28
1371389220	29
1371475620	30
1371562020	31
1371648420	32
1371734820	33
1371821220	34
1371907620	35
1371994020	29
1372080420	30
1372166820	31
1372253220	32
1372339620	22
1372426020	23
1372512420	24
1372598820	25
1372685220	26
1372771620	27
1372858020	28
1372944420	29
1373117220	31
1373203620	32
1373290020	33
1373376420	34
1373462820	35
1373549220	24
1373635620	25
1373722020	26
1373808420	27
1373894820	28
1373981220	29
1374067620	30
1374154020	19
1374240420	20
1374326820	21
1374413220	22
1374499620	23
1374586020	24
1374672420	22
1374758820	23
1374845220	24
1374931620	25
1375018020	26
1375104420	27
1375190820	28
1375277220	22
1375363620	23
1375450020	24
1375536420	25
1375622820	26
1375709220	27
1375795620	28
1375882020	29
1375968420	26
1376054820	27
1376141220	28
1376227620	29
1376314020	30
1376400420	31
1376486820	32
1376573220	24
1376659620	25
1376746020	26
1376832420	27
1376918820	28
1377005220	29
1377091620	30
1377178020	31
1377264420	32
1377350820	33
1377437220	34
1377523620	35
1377610020	36
1377696420	37
1377782820	31
1377869220	32
1377955620	33
1378042020	34
1378128420	35
1378214820	36
1378301220	22
1378387620	23
1378474020	24
1378560420	25
1378646820	26
1378733220	27
1378819620	28
1378906020	29
1378992420	25
1379078820	26
1379165220	27
1379251620	28
1379338020	29
1379424420	30
1379510820	31
1379597220	32
1379683620	33
1379770020	34
1379856420	35
1379942820	36
1380029220	37
1380115620	38
1380202020	28
1380288420	29
1380374820	30
1380461220	31
1380547620	32
1380634020	33
1380720420	34
1380806820	24
1380893220	25
1380979620	26
1381584420	33
1381670820	34
1381757220	35
1381930020	21
1382621220	24
1383053220	29
1383139620	30
1383226020	27
1383398820	29
1383485220	30
1383830820	25
1384435620	25
1384954020	31
1385645220	25
